,total_input_tokens,total_output_tokens,input_cost,output_cost,total_cost,num_questions,num_correct,accuracy,cost_per_question,cost_per_correct,cost_per_accuracy_point,strategy_name,cost_increase,accuracy_increase,roi,roi_pct
all_greedy,131900.0,700781.0,0.032975,0.700781,0.733756,1319.0,660.0,0.5003790750568613,0.0005562971948445792,0.001111751515151515,0.014664002484848483,all_greedy,0.0,0.0,0.0,0.0
all_sc,659500.0,3687751.0,0.164875,3.687751,3.852626,1319.0,695.0,0.5269143290371494,0.0029208688400303258,0.005543346762589928,0.07311674379856115,all_sc,3.11887,0.02653525398028811,0.008507970508369158,0.8507970508369158
random,297900.0,1614199.0,0.074475,1.614199,1.688674,1319.0,669.0,0.5072024260803639,0.0012802683851402578,0.002524176382660688,0.03329388648729447,random,0.954918,0.006823351023502622,0.0071454837198461785,0.7145483719846178
probe_threshold,552700.0,3229250.0,0.138175,3.22925,3.367425,1319.0,684.0,0.5185746777862017,0.0025530136467020468,0.004923135964912281,0.06493616337719298,probe_threshold,2.633669,0.0181956027293404,0.006908841896475797,0.6908841896475797
probe_quantile,184700.0,1013015.0,0.046175,1.013015,1.05919,1319.0,664.0,0.5034116755117514,0.0008030250189537529,0.0015951656626506025,0.021040235090361445,probe_quantile,0.3254340000000001,0.0030326004548900665,0.009318634358912104,0.9318634358912105
