Strategy,Accuracy,Accuracy Gain,Fraction SC,Avg Samples,Efficiency,Router Acc,Router Prec,Router Recall
all_sc,0.5269143290371494,0.02653525398028811,1.0,5.0,0.0053070507960576215,0.49962092494313876,0.49962092494313876,1.0
probe_threshold,0.5185746777862017,0.0181956027293404,0.7975739196360879,4.190295678544352,0.0043423195223448495,0.5716451857467779,0.5446768060836502,0.8694992412746586
random,0.5072024260803639,0.006823351023502622,0.3146322971948446,2.258529188779378,0.0030211480362537626,0.5178165276724791,0.5277108433734939,0.3323216995447648
probe_quantile,0.5056861258529188,0.005307050796057533,0.30022744503411675,2.200909780136467,0.0024112986565621376,0.5640636846095527,0.6060606060606061,0.36418816388467373
probe_quantile,0.5034116755117514,0.0030326004548900665,0.10007581501137225,1.400303260045489,0.002165674066053058,0.5382865807429871,0.6893939393939394,0.13808801213960548
all_greedy,0.5003790750568613,0.0,0.0,1.0,0.0,0.5003790750568613,0.0,0.0
