Strategy,Accuracy,Accuracy Gain,Fraction SC,Avg Samples,Token Multiplier,Efficiency (sample),Efficiency (token),Efficiency (cost),Total Cost,Cost/Question,Cost/Correct,ROI (pts/$),Router Acc,Router Prec,Router Recall
all_sc,0.33011789924973206,0.047159699892818874,1.0,5.0,4.795893433450274,0.009431939978563775,0.009833350250005684,0.009934485881358156,6.001413,0.006432382636655949,0.019485107142857144,0.9934485881358156,0.7170418006430869,0.7170418006430869,1.0
probe_quantile_bottom_30pct,0.3011789924973205,0.01822079314040731,0.30010718113612006,2.20042872454448,2.12963276191972,0.008280565026790074,0.008555838107966791,0.012904308406916544,2.666336,0.002857809217577706,0.00948874021352313,1.2904308406916543,0.36012861736334406,0.6285714285714286,0.26307922272047835
probe_quantile_bottom_10pct,0.2936763129689175,0.01071811361200431,0.1007502679528403,1.4030010718113612,1.3975593475283128,0.007639419404125302,0.007669165270841691,0.021509574874330088,1.752638,0.001878497320471597,0.0063964890510948905,2.1509574874330086,0.30439442658092175,0.6063829787234043,0.08520179372197309
random_30pct,0.29689174705251875,0.013933547695605564,0.31511254019292606,2.260450160771704,2.1832044871397955,0.006164058795637739,0.006382154203915104,0.009422587553047267,2.733082,0.00292934833869239,0.00986672202166065,0.9422587553047267,0.4115755627009646,0.7040816326530612,0.3094170403587444
probe_threshold_0.50,0.28510182207931406,0.002143622722400873,0.004287245444801715,1.0171489817792068,1.015553666113426,0.0021074815595363695,0.002110792165818891,0.11050740913500723,1.273741,0.0013652100750267953,0.0047885,11.050740913500723,0.28510182207931406,0.75,0.004484304932735426
all_greedy,0.2829581993569132,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.254343,0.0013444190782422294,0.004751299242424243,0.0,0.2829581993569132,0.0,0.0
