Strategy,Accuracy,Accuracy Gain,Fraction SC,Avg Samples,Token Multiplier,Efficiency (sample),Efficiency (token),Efficiency (cost),Total Cost,Cost/Question,Cost/Correct,ROI (pts/$),Router Acc,Router Prec,Router Recall
random_30pct,0.5064442759666414,0.010614101592115288,0.3146322971948446,2.258529188779378,2.426378907343388,0.0046995636119503414,0.004374461696807501,0.010083200898412093,1.7790000000000001,0.001348749052312358,0.002663173652694611,1.0083200898412092,0.4965883244882487,0.5012048192771085,0.31278195488721805
all_sc,0.5155420773313116,0.019711902956785488,1.0,5.0,5.213463908306705,0.0039423805913570975,0.003780960855100226,0.006396732742588485,3.807906,0.002886964366944655,0.005599861764705882,0.6396732742588485,0.5041698256254739,0.5041698256254739,1.0
probe_quantile_bottom_10pct,0.49962092494313876,0.003790750568612611,0.10007581501137225,1.400303260045489,1.351197724874072,0.002707092582566342,0.002805474357178849,0.015148822976144774,0.976582,0.0007403957543593631,0.0014819150227617602,1.5148822976144773,0.48218347232752085,0.4318181818181818,0.08571428571428572
probe_quantile_bottom_30pct,0.5011372251705838,0.005307050796057644,0.30022744503411675,2.200909780136467,2.2237744358533478,0.002411298656562188,0.0023865058930858355,0.005955296758852226,1.617496,0.0012263047763457166,0.0024470438729198183,0.5955296758852227,0.45489006823351025,0.4318181818181818,0.2571428571428571
all_greedy,0.49583017437452614,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.726348,0.0005506808188021228,0.0011106238532110093,0.0,0.49583017437452614,0.0,0.0
probe_threshold_0.50,0.49583017437452614,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.726348,0.0005506808188021228,0.0011106238532110093,0.0,0.49583017437452614,0.0,0.0
