Strategy,Accuracy,Accuracy Gain,Fraction SC,Avg Samples,Token Multiplier,Efficiency (sample),Efficiency (token),Efficiency (cost),Total Cost,Cost/Question,Cost/Correct,ROI (pts/$),Router Acc,Router Prec,Router Recall
probe_threshold_0.50,0.3504823151125402,0.067524115755627,0.9078242229367631,4.631296891747053,4.5023913545774015,0.01457995834297616,0.014997389262259029,0.015401323665735695,5.638685,0.006043606645230439,0.01724368501529052,1.5401323665735696,0.6870310825294748,0.7225501770956316,0.9147982062780269
all_sc,0.3440514469453376,0.06109324758842444,1.0,5.0,4.944587323328959,0.012218649517684888,0.01235558067711366,0.012356723546594537,6.198509,0.006643632368703108,0.0193099968847352,1.2356723546594537,0.7170418006430869,0.7170418006430869,1.0
random_30pct,0.3011789924973205,0.01822079314040731,0.31511254019292606,2.260450160771704,2.20772240654689,0.008060692271218597,0.008253208413509988,0.012056753698527652,2.765631,0.002964234726688103,0.009842103202846975,1.2056753698527651,0.4115755627009646,0.7040816326530612,0.3094170403587444
probe_quantile_bottom_30pct,0.30010718113612006,0.017148981779206873,0.30010718113612006,2.20042872454448,2.214583109953985,0.007793472966390654,0.007743661415156009,0.01124864173881325,2.778917,0.0029784748124330115,0.009924703571428571,1.124864173881325,0.43729903536977494,0.7571428571428571,0.31689088191330345
probe_quantile_bottom_10pct,0.2861736334405145,0.0032154340836013096,0.1007502679528403,1.4030010718113612,1.4493360536533284,0.0022918258212376026,0.0022185566111435602,0.005672160040222464,1.821259,0.0019520460878885316,0.006821194756554307,0.5672160040222464,0.34941050375133975,0.8297872340425532,0.11659192825112108
all_greedy,0.2829581993569132,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.2543790000000001,0.0013444576634512328,0.004751435606060606,0.0,0.2829581993569132,0.0,0.0
