Strategy,Accuracy,Accuracy Gain,Fraction SC,Avg Samples,Efficiency,Router Acc,Router Prec,Router Recall
probe_threshold,0.33440514469453375,0.051446945337620564,0.9078242229367631,4.631296891747053,0.011108539689886596,0.6870310825294748,0.7225501770956316,0.9147982062780269
all_sc,0.3333333333333333,0.05037513397642013,1.0,5.0,0.010075026795284025,0.7170418006430869,0.7170418006430869,1.0
probe_quantile,0.2990353697749196,0.016077170418006437,0.30010718113612006,2.20042872454448,0.0073063809059912355,0.43729903536977494,0.7571428571428571,0.31689088191330345
probe_quantile,0.28938906752411575,0.006430868167202564,0.1007502679528403,1.4030010718113612,0.004583651642475165,0.34941050375133975,0.8297872340425532,0.11659192825112108
random,0.2883172561629153,0.005359056806002127,0.31511254019292606,2.260450160771704,0.002370791844476048,0.43729903536977494,0.7448979591836735,0.3273542600896861
all_greedy,0.2829581993569132,0.0,0.0,1.0,0.0,0.2829581993569132,0.0,0.0
