,total_input_tokens,total_output_tokens,input_cost,output_cost,total_cost,num_questions,num_correct,accuracy,cost_per_question,cost_per_correct,cost_per_accuracy_point,strategy_name,cost_increase,accuracy_increase,roi,roi_pct
all_greedy,93300.0,1231021.0,0.023325,1.231021,1.254346,933.0,264.0,0.2829581993569132,0.001344422293676313,0.004751310606060606,0.04432972795454545,all_greedy,0.0,0.0,0.0,0.0
all_sc,466500.0,5983430.0,0.116625,5.98343,6.100055,933.0,311.0,0.3333333333333333,0.0065381082529474815,0.019614324758842446,0.18300165000000004,all_sc,4.845709,0.05037513397642013,0.010395823186117974,1.0395823186117974
random,210900.0,2725218.0,0.052725,2.725218,2.777943,933.0,269.0,0.2883172561629153,0.0029774308681672027,0.01032692565055762,0.0963502163197026,random,1.523597,0.005359056806002127,0.0035173715921273077,0.3517371592127308
probe_threshold,432100.0,5385670.0,0.108025,5.38567,5.493695,933.0,312.0,0.33440514469453375,0.005888204715969989,0.017607996794871794,0.16428261009615383,probe_threshold,4.239349,0.051446945337620564,0.012135576791721326,1.2135576791721325
probe_quantile,130900.0,1728273.0,0.032725,1.728273,1.7609979999999998,933.0,270.0,0.28938906752411575,0.0018874576634512325,0.006522214814814814,0.060852264222222216,probe_quantile,0.5066519999999999,0.006430868167202564,0.012692870384274172,1.269287038427417
